               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.038584,            0.054821,                   0,             0.70757,             0.91413,             0.82705,              0.5425,            0.027814,            0.034762,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.037035,            0.054661,                   0,             0.70757,             0.91413,             0.82705,              0.5425,            0.027814,            0.034762,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035689,            0.057666,                   0,             0.97718,             0.95181,             0.96851,             0.65125,            0.025387,            0.033296,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.035146,            0.055274,                   0,             0.97718,             0.95181,             0.96851,             0.65125,            0.025387,            0.033296,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.038804,            0.050041,                   0,             0.66001,             0.90599,             0.79858,             0.53213,            0.036473,             0.03477,                   0,            0.006337,            0.006337,            0.006337
                  76,             0.04386,             0.05215,                   0,             0.66001,             0.90599,             0.79858,             0.53213,            0.036473,             0.03477,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.043609,            0.059327,                   0,             0.83315,             0.91111,             0.92992,             0.50916,            0.032469,            0.031831,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.044129,            0.048898,                   0,             0.83315,             0.91111,             0.92992,             0.50916,            0.032469,            0.031831,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046142,            0.045781,                   0,             0.83315,             0.91111,             0.92992,             0.50916,            0.032469,            0.031831,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.044787,            0.046476,                   0,             0.79619,             0.95493,             0.89873,             0.57729,            0.025578,            0.030935,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.044411,            0.055145,                   0,             0.79619,             0.95493,             0.89873,             0.57729,            0.025578,            0.030935,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.038811,            0.048279,                   0,             0.79238,             0.95556,              0.9137,             0.48634,            0.022867,            0.030914,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.035095,            0.050921,                   0,             0.79238,             0.95556,              0.9137,             0.48634,            0.022867,            0.030914,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.034569,            0.049515,                   0,             0.77063,             0.93333,             0.92134,             0.68502,            0.022984,            0.030091,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.036036,            0.041821,                   0,             0.77063,             0.93333,             0.92134,             0.68502,            0.022984,            0.030091,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.037767,            0.047032,                   0,             0.89912,             0.93333,             0.97772,             0.49724,            0.022793,             0.03109,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036218,            0.039644,                   0,             0.89912,             0.93333,             0.97772,             0.49724,            0.022793,             0.03109,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.038888,            0.045536,                   0,             0.89912,             0.93333,             0.97772,             0.49724,            0.022793,             0.03109,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.035343,            0.041109,                   0,             0.82014,             0.91111,             0.95868,             0.51888,            0.022881,            0.030207,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.034707,            0.047502,                   0,             0.82014,             0.91111,             0.95868,             0.51888,            0.022881,            0.030207,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.033883,            0.045072,                   0,             0.77562,             0.95556,             0.95983,             0.66905,            0.020615,            0.028785,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.032559,            0.039925,                   0,             0.77562,             0.95556,             0.95983,             0.66905,            0.020615,            0.028785,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.034861,            0.044121,                   0,             0.82344,             0.93278,             0.93887,             0.53415,            0.024034,            0.030349,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.034643,            0.038477,                   0,             0.82344,             0.93278,             0.93887,             0.53415,            0.024034,            0.030349,                   0,           0.0053965,           0.0053965,           0.0053965
