               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.037971,            0.052879,                   0,             0.87941,             0.88889,             0.95812,             0.69394,            0.035847,            0.040574,                   0,            0.004852,            0.004852,            0.004852
                  67,             0.04412,             0.05282,                   0,             0.87941,             0.88889,             0.95812,             0.69394,            0.035847,            0.040574,                   0,           0.0047728,           0.0047728,           0.0047728
                  68,             0.04546,            0.052527,                   0,             0.71517,             0.86667,             0.89865,              0.5852,            0.041652,            0.042851,                   0,           0.0046936,           0.0046936,           0.0046936
                  69,            0.051008,            0.051133,                   0,             0.71517,             0.86667,             0.89865,              0.5852,            0.041652,            0.042851,                   0,           0.0046144,           0.0046144,           0.0046144
                  70,            0.051166,            0.056193,                   0,             0.71517,             0.86667,             0.89865,              0.5852,            0.041652,            0.042851,                   0,           0.0045352,           0.0045352,           0.0045352
                  71,            0.046809,            0.054832,                   0,             0.73188,             0.88889,             0.93855,             0.65862,            0.038577,            0.042324,                   0,            0.004456,            0.004456,            0.004456
                  72,            0.045654,            0.058191,                   0,             0.73188,             0.88889,             0.93855,             0.65862,            0.038577,            0.042324,                   0,           0.0043768,           0.0043768,           0.0043768
                  73,            0.040599,            0.058749,                   0,             0.97775,              0.9764,             0.99065,              0.7028,            0.024811,            0.037346,                   0,           0.0042976,           0.0042976,           0.0042976
                  74,            0.035726,            0.056181,                   0,             0.97775,              0.9764,             0.99065,              0.7028,            0.024811,            0.037346,                   0,           0.0042184,           0.0042184,           0.0042184
                  75,            0.037657,            0.051039,                   0,               0.778,             0.97778,             0.97833,             0.60206,            0.032451,            0.040509,                   0,           0.0041392,           0.0041392,           0.0041392
                  76,            0.040398,            0.055391,                   0,               0.778,             0.97778,             0.97833,             0.60206,            0.032451,            0.040509,                   0,             0.00406,             0.00406,             0.00406
                  77,            0.043782,            0.060948,                   0,             0.76064,             0.95556,             0.92523,             0.46577,            0.034151,            0.041249,                   0,           0.0039808,           0.0039808,           0.0039808
                  78,            0.042337,            0.050386,                   0,             0.76064,             0.95556,             0.92523,             0.46577,            0.034151,            0.041249,                   0,           0.0039016,           0.0039016,           0.0039016
                  79,            0.042923,             0.04893,                   0,             0.76064,             0.95556,             0.92523,             0.46577,            0.034151,            0.041249,                   0,           0.0038224,           0.0038224,           0.0038224
                  80,            0.036623,            0.046561,                   0,             0.76224,             0.95556,             0.92067,             0.54383,            0.027749,            0.039133,                   0,           0.0037432,           0.0037432,           0.0037432
                  81,            0.034281,            0.053789,                   0,             0.76224,             0.95556,             0.92067,             0.54383,            0.027749,            0.039133,                   0,            0.003664,            0.003664,            0.003664
                  82,            0.033929,            0.049538,                   0,             0.87749,             0.97778,             0.97357,             0.58981,            0.027098,            0.038214,                   0,           0.0035848,           0.0035848,           0.0035848
                  83,            0.035673,            0.053716,                   0,             0.87749,             0.97778,             0.97357,             0.58981,            0.027098,            0.038214,                   0,           0.0035056,           0.0035056,           0.0035056
                  84,            0.034105,            0.050569,                   0,             0.82021,             0.95556,             0.97573,              0.6438,             0.02728,            0.038674,                   0,           0.0034264,           0.0034264,           0.0034264
                  85,            0.034201,            0.044269,                   0,             0.82021,             0.95556,             0.97573,              0.6438,             0.02728,            0.038674,                   0,           0.0033472,           0.0033472,           0.0033472
                  86,            0.034801,            0.047882,                   0,             0.95605,             0.96682,             0.98822,             0.61401,            0.028572,            0.037904,                   0,            0.003268,            0.003268,            0.003268
                  87,            0.033313,            0.042859,                   0,             0.95605,             0.96682,             0.98822,             0.61401,            0.028572,            0.037904,                   0,           0.0031888,           0.0031888,           0.0031888
                  88,             0.03418,            0.047635,                   0,             0.95605,             0.96682,             0.98822,             0.61401,            0.028572,            0.037904,                   0,           0.0031096,           0.0031096,           0.0031096
                  89,            0.032636,             0.04414,                   0,             0.96171,             0.95556,             0.98929,             0.66511,            0.026617,             0.03708,                   0,           0.0030304,           0.0030304,           0.0030304
                  90,            0.031718,            0.048111,                   0,             0.96171,             0.95556,             0.98929,             0.66511,            0.026617,             0.03708,                   0,           0.0029512,           0.0029512,           0.0029512
                  91,            0.031301,            0.046133,                   0,             0.92951,             0.95556,             0.98603,             0.70888,             0.02382,            0.036512,                   0,            0.002872,            0.002872,            0.002872
                  92,            0.029759,             0.04263,                   0,             0.92951,             0.95556,             0.98603,             0.70888,             0.02382,            0.036512,                   0,           0.0027928,           0.0027928,           0.0027928
                  93,            0.029102,            0.046984,                   0,             0.97769,             0.97394,             0.98975,             0.60186,            0.025144,              0.0364,                   0,           0.0027136,           0.0027136,           0.0027136
                  94,            0.029215,             0.03964,                   0,             0.97769,             0.97394,             0.98975,             0.60186,            0.025144,              0.0364,                   0,           0.0026344,           0.0026344,           0.0026344
                  95,            0.030597,            0.050818,                   0,             0.87797,             0.95556,             0.96746,             0.69502,            0.023944,            0.035671,                   0,           0.0025552,           0.0025552,           0.0025552
